Name,ServiceGroup
"CitrixAdIdentityService","AD Identity Service"
"LanmanWorkstation","AD Identity Service"
"CitrixBrokerService","Broker"
"CitrixConfigurationService","Configuration Service"
"LanmanWorkstation","Configuration Service"
"CdfSvc","CDF"
"RpcSs","CDF"
"CitrixHostService","Host Service"
"LanmanWorkstation","Host Service"
"CitrixMachineCreationService","MCS"
"LanmanWorkstation","MCS"
"BrokerAgent","VDA"
"LanmanWorkstation","VDA"
"CitrixCseEngine","Citrix CSE"
"RpcSs","Citrix CSE"
"ctxProfile","UPM"
"ServicesManager","Services Manager"
"TermService","Services Manager"
"TermService","RDP"
